lens_id,name,postfix_status,axis,question_to_ask,evidence_episodes,source_basis
OM-RAW-1,Regime/weekly-sign inverte significado,POSTFIX_RAW_CONFIRMED,regime,O regime confirma a reversao que a forma sugere ou a contradiz?,4918 vs 1661,backbone causal + outcome audit pos-fix
OM-RAW-2,weekly-negativo NAO e veto,POSTFIX_RAW_CONFIRMED,regime,Macro-negativo forca trap ou pode ser washout construtivo?,5826 16.73R / 3949 -0.6657 correu,pos-fix
OM-RAW-3,Geometria preco x supply sob macro casado,POSTFIX_RAW_CONFIRMED,geometria,Casos comparados tem MESMO macro? Se sim geometria discrimina,3949 SUPPLY_FAR runner vs 3929 SUPPLY_BLOCKS stop (mesmo dia),pos-fix prova mais limpa SEM look-ahead
OM-RAW-4,RSI-position / freio de blow-off,POSTFIX_RAW_CONFIRMED,momentum,RSI mostra espaco ou exaustao no apex?,8923 RSI82 climax,pos-fix
OM-RAW-5,Forma 4H > etiqueta textual de acceptance,POSTFIX_RAW_CONFIRMED,forma,Ignore a label; reconstrua aceitacao pela forma,sub-bloco D 3949/3929,pos-fix
OM-RAW-6,Entry-red-bar / esforco-comprador-ausente = trap,POSTFIX_RAW_CONFIRMED,forma,Entry compra recuperacao ja falhando (vermelha/sem comprador)?,1873 3929 3825,pos-fix
OM-RAW-7,Compression-runner vs washout-runner,POSTFIX_RAW_CONFIRMED,forma,Absorcao lenta vs reclaim explosivo?,1522 vs 5826,pos-fix
OM-RAW-8,Polo FUEL (supply distante + forma) direcao,POSTFIX_RAW_MODIFIED,forma+supply,Climax digerido + expansao?,8940 (direcao certa exit fraco); 6887 REFUTED (parou 0R sem novo topo),pos-fix
OM-RAW-Q1,supply-colado/geometria-WALL => fade como REGRA,QUARANTINED_PENDING_VOLUME_VA,supply,NAO usar proximidade-de-supply como sinal de rejeicao isolado,4926 8878 4401 5627 wall+correram,pos-fix REFUTADO
OM-RAW-Q2,Discriminacao cross-episodio 4918 vs 4926,POSTFIX_REFUTED,geometria,4918 e 4926 sao opostos ou gemeos?,ambos monster ~18-19R,pos-fix arbitro=VA volume BLOCKED
OM-RAW-I1,Compressao-sob-supply / casos INSIDE_VALUE,STILL_INSUFFICIENT,acceptance/SVP,De que lado do VALUE-AREA DE VOLUME o preco e aceito?,5627 1623 casos INSIDE,BLOQUEADO - exige VA de volume (nao serializado)
