claim_id,number,metric,script,input_file,output_file,source_ref,raw_or_derived,status,note
HTF_SEP,12/3,separacao perfeita fundos vs INVALIDO por dist_prior_episode_bottom_atr,htf_anchor_map_bear.py,results/f0_bars_cache.jsonl,htf_anchor_map_bear_result.json,RAW 15M via F0 (manifest HTF_ANCHOR_OB),VERIFIED_DERIVED,REVIEW_LAYER,calibracao mesmo-bear; GT queimado
HTF_NULL,0.0022,null exato 1/455 (Bonferroni ~4 looks 0.0088),htf_ob_null_audit.py,results/htf_anchor_map_bear_result.json,XAU_15M_HTF_ANCHOR_OB_READER_REPORT.md,derivado dos medidores,VERIFIED_DERIVED,REVIEW_LAYER,exchangeability: n efetivo <15
HTF_B3A6,-16.3,dist A6 vs B3 -4.7 (par-chave resolvido 3.5x),htf_anchor_map_bear.py,results/f0_bars_cache.jsonl,htf_anchor_map_bear_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,dev_atr relativo NAO separa (A8 16.3 em [14.5 17.4])
OB_BULL,11/26,inside OB-1H fundos BULL (vs 2/6 C-losers) — sem discriminacao,ob_causal_check.py,RAW 1H/30M .jsonl.gz diretos,ob_causal_check_result.json,RAW HTF nativo (manifest),VERIFIED_RAW,REVIEW_LAYER,OB esteril nestas perguntas; densidade 9-30 zonas
OB_RANGE,0/4,inside OB-30M bases RANGE,ob_causal_check.py,RAW 30M .jsonl.gz diretos,ob_causal_check_result.json,RAW HTF nativo,VERIFIED_RAW,EXPLORATORY,n=4 descritivo
SKIP_S2A,21/1,S2a 1D losers/winners marcados p=0.0155,skip_family_discovery.py,live_fireable_candidates.csv sha16 6d1d8cb1e731adce,skip_family_discovery_result.json,RAW 15M via F0 + base causal,VERIFIED_DERIVED,REVIEW_LAYER,replica filtro validado (variante price-agg)
SKIP_S2B_RED,17/4/1,redundancia S2b vs S2a (both/so-S2a/so-S2b losers; Jaccard 0.68),skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,ancora redundante com 1D neste substrato
SKIP_S3,40/6,S3 estrutura acima losers/winners p=0.025; S3-only 30/35 p=0.0032 lift +14pp,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,>=2 e BEAR-only = descritivos pos-prereg; K=1.5 herdado
SKIP_S1_NULL,0.531,S1 sem contexto p (esteril nesta base; 45L/20W),skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,sub-especificado nao morto
SKIP_S4_ZERO,0/166,S4 containment nunca dispara (min 0.89 ATR acima; mediana 5.1),skip_family_diagnostics.py + DA probe,live_fireable_candidates.csv,skip_family_diagnostics.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,re-operacionalizar regiao-ABAIXO
SKIP_S5_NULL,0.623,S5 range fora terco inferior p (sem sinal como operacionalizado),skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,nao enterra regua 4H; enterra operacionalizacao
SKIP_UNION_BURNED,51/6,S2a∪S3 em BEAR = look de composto QUEIMADO nesta base,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,NOT_FOR_DECISION,arbitro do composto = janela virgem 2024-25
SKIP_P_S2A,0.016,p S2a arredondado no report,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,=0.0155
SKIP_P_S3,0.025,p S3 flag inteiro,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,
SKIP_P_S2B,0.12,p S2b quartil,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,
SKIP_P_S1,0.53,p S1 arredondado,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,=0.531
SKIP_P_S5,0.62,p S5 arredondado,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,=0.623
SKIP_BASE_N,166,n da base causal live-fireable,skip_family_discovery.py,live_fireable_candidates.csv,skip_family_discovery_result.json,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,120L/46W
SKIP_POOL,71.4,pct losers pool BEAR sem S2a (comparador correto S3-only),DA agent (sonda),live_fireable_candidates.csv,F0_?,RAW 15M via F0,VERIFIED_DERIVED,REVIEW_LAYER,40L/56
P3A_PREREG,0,Fase 3A BEAR-only composite preregistrado NAO testado (universo n=78 congelado sha 44012c97308ed910),freeze_bear_universe.py,skip_family_discovery_ledger.csv,bear_universe_frozen.json + XAU_15M_BEAR_ONLY_SKIP_COMPOSITE_PREREG.md,RAW 15M via F0 + base causal,VERIFIED_DERIVED,NOT_FOR_DECISION,PREREG_ONLY_NOT_TESTED
